Accuracy,runname,Eval on
99.91319444,regnety_008_fold_5,Train
98.23588732,regnety_008_fold_5,Validation
77.1875,regnety_008_fold_5,Test
100,regnety_008_fold_4,Train
98.26388889,regnety_008_fold_4,Validation
78.21428571,regnety_008_fold_4,Test
100,regnety_008_fold_3,Train
98.78472222,regnety_008_fold_3,Validation
79.19642857,regnety_008_fold_3,Test
99.82638889,regnety_008_fold_2,Train
98.25828891,regnety_008_fold_2,Validation
77.14285714,regnety_008_fold_2,Test
100,regnety_008_fold_1,Train
98.09027778,regnety_008_fold_1,Validation
74.41964286,regnety_008_fold_1,Test
99.77678574,regnety_006_fold_5,Train
97.91106669,regnety_006_fold_5,Validation
75.80357143,regnety_006_fold_5,Test
99.82638889,regnety_006_fold_4,Train
98.25828891,regnety_006_fold_4,Validation
77.8125,regnety_006_fold_4,Test
99.95659722,regnety_006_fold_3,Train
98.78472222,regnety_006_fold_3,Validation
79.375,regnety_006_fold_3,Test
99.95659722,regnety_006_fold_2,Train
98.43190002,regnety_006_fold_2,Validation
77.41071429,regnety_006_fold_2,Test
100,regnety_006_fold_1,Train
96.84699843,regnety_006_fold_1,Validation
73.52678571,regnety_006_fold_1,Test
99.95659722,regnety_004_fold_5,Train
96.510977,regnety_004_fold_5,Validation
79.375,regnety_004_fold_5,Test
99.73958333,regnety_004_fold_4,Train
97.90546587,regnety_004_fold_4,Validation
79.73214286,regnety_004_fold_4,Test
99.91319444,regnety_004_fold_3,Train
98.4262992,regnety_004_fold_3,Validation
77.1875,regnety_004_fold_3,Test
99.95659722,regnety_004_fold_2,Train
98.26388889,regnety_004_fold_2,Validation
74.41964286,regnety_004_fold_2,Test
99.43576389,regnety_004_fold_1,Train
97.20542145,regnety_004_fold_1,Validation
76.07142857,regnety_004_fold_1,Test
99.91319444,resnext50_32x4d_fold_5,Train
98.09027778,resnext50_32x4d_fold_5,Validation
78.92857143,resnext50_32x4d_fold_5,Test
99.95659722,resnext50_32x4d_fold_4,Train
97.56944444,resnext50_32x4d_fold_4,Validation
78.83928571,resnext50_32x4d_fold_4,Test
99.95659722,resnext50_32x4d_fold_3,Train
98.25268809,resnext50_32x4d_fold_3,Validation
73.34821429,resnext50_32x4d_fold_3,Test
100,resnext50_32x4d_fold_2,Train
98.61111111,resnext50_32x4d_fold_2,Validation
72.85714286,resnext50_32x4d_fold_2,Test
99.91319444,resnext50_32x4d_fold_1,Train
97.56384447,resnext50_32x4d_fold_1,Validation
71.16071429,resnext50_32x4d_fold_1,Test
99.95659722,efficientnet_b2_fold_5,Train
96.510977,efficientnet_b2_fold_5,Validation
78.16964286,efficientnet_b2_fold_5,Test
99.82638889,efficientnet_b2_fold_4,Train
97.04301114,efficientnet_b2_fold_4,Validation
76.51785714,efficientnet_b2_fold_4,Test
99.95659722,efficientnet_b2_fold_3,Train
97.03741031,efficientnet_b2_fold_3,Validation
78.52678571,efficientnet_b2_fold_3,Test
99.82638889,efficientnet_b2_fold_2,Train
97.04861111,efficientnet_b2_fold_2,Validation
76.38392857,efficientnet_b2_fold_2,Test
100,efficientnet_b2_fold_1,Train
97.21662225,efficientnet_b2_fold_1,Validation
76.65178571,efficientnet_b2_fold_1,Test
99.91319444,efficientnet_b1_fold_5,Train
95.99574365,efficientnet_b1_fold_5,Validation
72.54464286,efficientnet_b1_fold_5,Test
99.86979167,efficientnet_b1_fold_4,Train
96.5221778,efficientnet_b1_fold_4,Validation
76.91964286,efficientnet_b1_fold_4,Test
99.95039686,efficientnet_b1_fold_3,Train
97.73185476,efficientnet_b1_fold_3,Validation
76.51785714,efficientnet_b1_fold_3,Test
99.8635913,efficientnet_b1_fold_2,Train
96.85819923,efficientnet_b1_fold_2,Validation
73.39285714,efficientnet_b1_fold_2,Test
100,efficientnet_b1_fold_1,Train
96.69018809,efficientnet_b1_fold_1,Validation
76.78571429,efficientnet_b1_fold_1,Test
100,efficientnet_b0_fold_5,Train
97.39023336,efficientnet_b0_fold_5,Validation
74.19642857,efficientnet_b0_fold_5,Test
100,efficientnet_b0_fold_4,Train
96.32616509,efficientnet_b0_fold_4,Validation
79.28571429,efficientnet_b0_fold_4,Test
99.95659722,efficientnet_b0_fold_3,Train
98.78472222,efficientnet_b0_fold_3,Validation
79.0625,efficientnet_b0_fold_3,Test
100,efficientnet_b0_fold_2,Train
98.06787618,efficientnet_b0_fold_2,Validation
72.63392857,efficientnet_b0_fold_2,Test
99.91319444,efficientnet_b0_fold_1,Train
97.21662225,efficientnet_b0_fold_1,Validation
75.84821429,efficientnet_b0_fold_1,Test
100,seresnet50_fold_5,Train
97.56944444,seresnet50_fold_5,Validation
79.0625,seresnet50_fold_5,Test
99.95659722,seresnet50_fold_4,Train
96.67338732,seresnet50_fold_4,Validation
76.38392857,seresnet50_fold_4,Test
99.95659722,seresnet50_fold_3,Train
98.09027778,seresnet50_fold_3,Validation
75.89285714,seresnet50_fold_3,Test
99.91319444,seresnet50_fold_2,Train
98.073477,seresnet50_fold_2,Validation
80.13392857,seresnet50_fold_2,Test
99.91319444,seresnet50_fold_1,Train
97.22222222,seresnet50_fold_1,Validation
76.69642857,seresnet50_fold_1,Test
99.52256944,resnet50_fold_5,Train
96.8637992,resnet50_fold_5,Validation
75.08928571,resnet50_fold_5,Test
99.91319444,resnet50_fold_4,Train
98.43190002,resnet50_fold_4,Validation
76.65178571,resnet50_fold_4,Test
100,resnet50_fold_3,Train
98.95273336,resnet50_fold_3,Validation
79.15178571,resnet50_fold_3,Test
99.4729663,resnet50_fold_2,Train
98.60551114,resnet50_fold_2,Validation
76.07142857,resnet50_fold_2,Test
99.69618056,resnet50_fold_1,Train
96.875,resnet50_fold_1,Validation
74.64285714,resnet50_fold_1,Test
99.86979167,resnet34_fold_5,Train
97.89986589,resnet34_fold_5,Validation
78.16964286,resnet34_fold_5,Test
99.69618056,resnet34_fold_4,Train
97.39023336,resnet34_fold_4,Validation
80.04464286,resnet34_fold_4,Test
100,resnet34_fold_3,Train
98.78472222,resnet34_fold_3,Validation
81.02678571,resnet34_fold_3,Test
100,resnet34_fold_2,Train
97.73185476,resnet34_fold_2,Validation
74.28571429,resnet34_fold_2,Test
99.86979167,resnet34_fold_1,Train
97.90546587,resnet34_fold_1,Validation
74.73214286,resnet34_fold_1,Test
